lat lon wh tt qc back ws
-35.323654 154.19843 1.4410001039505005 11785.711930338526 1.0 11.285 7.034999847412109
-35.292572 154.78278 2.9280002117156982 11789.281332239276 1.0 10.29 10.550000190734863
-35.300224 154.20984 1.7070001363754272 11795.62758355029 1.0 10.639999 9.300000190734863
-35.305035 154.78683 1.5520000457763672 11799.19699467416 1.0 11.285 7.034999847412109
-35.297813 154.21005 2.0160000324249268 11805.543236038764 1.0 11.67 5.889999866485596
-35.328903 154.7995 1.9730000495910645 11809.11264689127 1.0 10.83 8.619999885559082
-35.320774 154.19505 4.023500442504883 11815.458885995322 1.0 10.539999 9.654999732971191
-35.364487 154.82065 1.7445001602172852 11819.028300309321 1.0 11.719999 5.759999752044678
-35.501167 154.45422 5.484000205993652 11888.437995786313 1.0 8.19 18.520000457763672
-35.2235 154.14777 4.370500087738037 11900.731861979119 1.0 9.17 14.59999942779541
-35.390995 154.76382 2.3910000324249268 11905.292359845247 1.0 10.599999 9.4399995803833
-35.501907 154.35846 4.874000549316406 11917.586090494762 1.0 8.915 15.529998779296875
-35.54625 154.71588 2.6035001277923584 11934.440454011085 1.0 10.225 10.78499984741211
-35.883724 154.0832 4.688000202178955 11935.040111976909 1.0 8.68 16.380001068115234
-35.362892 154.2255 2.3480000495910645 11981.04242948175 1.0 10.639999 9.299999237060547
-35.240875 154.83473 1.5700000524520874 11985.60300292971 1.0 12.7699995 3.75
-35.504555 154.50883 3.9210002422332764 11997.896755461465 1.0 9.485 13.454999923706055
-35.7605 154.72734 1.3720000982284546 12014.751129014767 1.0 13.469999 2.9700000286102295
-35.732006 154.1409 1.5825001001358032 12015.3507254594 1.0 14.365 2.3449997901916504
-35.960587 154.98267 2.064000129699707 12031.605502748862 1.0 12.825 3.679999828338623
-35.53927 154.39838 1.2775001525878906 12032.204968352104 1.0 15.905 1.75
-35.153965 154.11188 1.283000111579895 12044.498879304156 1.0 10.95 8.199999809265137
-35.605057 154.81757 1.2950000762939453 12049.059343126137 1.0 10.75 8.90999984741211
-35.471195 154.29901 1.9060001373291016 12061.353085123701 1.0 11.58 6.12999963760376
-35.54641 154.63377 2.125 12078.207433765521 1.0 11.33 6.885000228881836
-35.6743 154.4176 1.783000111579895 12095.061792512075 1.0 13.099999 3.3499999046325684
-35.311016 154.17126 2.305999994277954 12124.80945909291 1.0 14.49 2.2799999713897705
-35.30926 154.79633 2.6645002365112305 12129.369992042775 1.0 9.474999 13.494998931884766
-35.504295 154.42952 2.202000141143799 12141.663726309314 1.0 10.84 8.59000015258789
-35.585526 154.7628 2.8980002403259277 12158.51810592087 1.0 10.5199995 9.729999542236328
