lat lon wh tt qc back ws
-18.437092 150.75769 2.075000047683716 8594.445745623554 1.0 10.7699995 8.829999923706055
-18.199577 150.6583 3.2300002574920654 8604.361369176768 1.0 9.99 11.630000114440918
-18.571642 150.80913 0.7460000514984131 8614.277012939448 1.0 12.789999 3.7249999046325684
-18.495102 150.77878 2.055000066757202 8624.19266108761 1.0 10.34 10.375
-18.49734 150.78311 1.7100000381469727 8634.108296712278 1.0 11.59 6.109999656677246
-18.50717 150.78867 1.6745001077651978 8644.023950590868 1.0 11.205 7.304999828338623
-18.517708 150.79053 1.5525001287460327 8653.93960449216 1.0 11.09 7.699999809265137
-18.496523 150.7781 1.7894999980926514 8663.855248119216 1.0 10.8949995 8.389999389648438
-18.503975 150.77783 1.2365000247955322 8673.770896629081 1.0 11.014999 7.96999979019165
-18.530985 150.78741 2.514000177383423 8683.686544053839 1.0 10.49 9.829999923706055
-18.482899 150.76752 1.9795000553131104 8693.602184968186 1.0 10.48 9.869999885559082
-18.486227 150.77023 1.1565001010894775 8703.51783013239 1.0 11.69 5.835000038146973
-18.41962 150.74493 0.6235000491142273 8713.433502513799 1.0 21.605 1.0199999809265137
-18.596899 150.81938 0.5540000200271606 8723.349106897367 1.0 14.259999 2.3999998569488525
-18.506554 150.7832 0.6050000190734863 8733.264752784977 1.0 13.1 3.3449997901916504
-18.212109 150.664 0.7050000429153442 8743.18039166485 1.0 18.675 1.2649999856948853
-18.5056 150.78668 0.6355000138282776 8753.096029278822 1.0 12.299999 4.494999885559082
-18.69496 150.86246 0.6285000443458557 8763.011774574523 1.0 11.969999 5.159999847412109
-18.48257 150.76729 0.9045000672340393 8782.842965133139 1.0 11.48 6.420000076293945
-18.62621 150.82312 2.0815000534057617 8792.758659939282 1.0 10.255 10.674999237060547
-18.380001 150.72098 1.7630001306533813 8802.674279333092 1.0 11.82 5.509999752044678
-18.042236 150.58401 0.9640000462532043 8812.589911566814 1.0 13.48 2.9650001525878906
-18.505863 150.77591 0.8670000433921814 8822.505554832169 1.0 11.88 5.369999885559082
-18.404522 150.73486 2.139000177383423 8832.421201443183 1.0 10.91 8.335000038146973
-18.532858 150.78629 1.6490000486373901 8842.336841362878 1.0 11.13 7.559999942779541
-18.552206 150.79384 2.387500047683716 8852.252477891743 1.0 10.09 11.269999504089355
-18.447142 150.75256 1.130500078201294 8862.168114465778 1.0 12.455 4.229999542236328
-18.484737 150.77194 1.3980000019073486 8872.083749276586 1.0 11.139999 7.529999732971191
-18.871439 150.93556 0.8090000152587891 8881.999448061339 1.0 11.87 5.389999866485596
-18.499062 150.78555 2.3940000534057617 8891.915024775779 1.0 10.36 10.299999237060547
-18.56363 150.80945 1.6180000305175781 8901.830700412276 1.0 10.764999 8.850000381469727
-18.421421 150.74855 1.7710000276565552 8911.746319263591 1.0 11.04 7.87999963760376
-18.511726 150.78387 1.1054999828338623 8921.661970124464 1.0 11.99 5.114999771118164
-18.354221 150.71898 0.9920000433921814 8931.577609049506 1.0 10.96 8.15999984741211
-18.473602 150.76779 1.1230000257492065 8941.493259096518 1.0 13.469999 2.9700000286102295
-18.566816 150.8056 0.8410000205039978 8951.40893627028 1.0 12.28 4.529999732971191
-18.49823 150.77621 1.287000060081482 8961.324543999508 1.0 11.55 6.21999979019165
-18.498615 150.77542 1.8280000686645508 8971.240185727715 1.0 10.924999 8.28499984741211
-18.499445 150.7774 2.197500228881836 8981.155827003764 1.0 10.645 9.279999732971191
-18.47769 150.77258 0.9660000205039978 8991.0714672287 1.0 18.369999 1.2999999523162842
-18.499958 150.7857 0.9180000424385071 9000.987104130443 1.0 11.78 5.604999542236328
-18.47416 150.77246 2.073500156402588 9010.902748300112 1.0 10.655 9.244999885559082
-18.511524 150.78343 2.2795000076293945 9020.81840458617 1.0 10.66 9.225000381469727
-18.461063 150.75923 1.0940001010894775 9030.734044234618 1.0 12.21 4.659999847412109
-18.518736 150.78214 0.9830000400543213 9040.649697446497 1.0 13.025 3.434999942779541
-18.485657 150.76996 1.3950001001358032 9050.565340530942 1.0 12.0199995 5.049999713897705
-18.503614 150.77939 2.2790000438690186 9060.480975748738 1.0 10.5 9.800000190734863
-18.48153 150.77158 2.13700008392334 9070.396616753424 1.0 10.334999 10.389999389648438
-18.59062 150.81677 2.3410000801086426 9080.312263635686 1.0 10.34 10.369999885559082
-18.524239 150.78978 1.1735000610351562 9090.227891845745 1.0 11.639999 5.96999979019165
-18.527431 150.79211 0.6370000243186951 9100.143537122989 1.0 12.38 4.349999904632568
-18.621368 150.8328 1.2965000867843628 9110.05916855426 1.0 11.7699995 5.634999752044678
-18.471533 150.77249 1.0049999952316284 9119.974810836255 1.0 12.205 4.675000190734863
-18.502829 150.78192 1.7100000381469727 9129.890463867225 1.0 10.8 8.729999542236328
-18.498167 150.77567 2.198000192642212 9139.806118525798 1.0 10.34 10.369999885559082
-18.523361 150.78299 0.7090000510215759 9149.72176775895 1.0 12.15 4.779999732971191
-18.272266 150.679 1.0760000944137573 9159.637415364617 1.0 11.54 6.25
-18.496948 150.77193 1.2785000801086426 9169.553062246763 1.0 11.764999 5.6449995040893555
-18.49858 150.77475 0.6694999933242798 9179.468705693027 1.0 11.805 5.545000076293945
-18.4987 150.7752 1.0880000591278076 9189.384340006509 1.0 12.2 4.679999828338623
-18.586636 150.81 1.6260000467300415 9199.299999728682 1.0 10.74 8.9399995803833
-18.33733 150.70717 4.867000102996826 9209.215625587734 1.0 9.92 11.880000114440918
-18.536837 150.79117 1.4550000429153442 9219.131263857242 1.0 11.2 7.319999694824219
